prompt,strategy,synthetic_ratio,classifier,metric,mean,std,count,mean_std,ci_lower,ci_upper,ci_95
original,within_group,10,random_forest,precision,0.6570777746571239,0.05946360871949417,100,0.6571 ± 0.0595,0.645422907348103,0.6687326419661448,"[0.6454, 0.6687]"
original,within_group,10,random_forest,recall,0.9810497981157469,0.00892085061621827,100,0.9810 ± 0.0089,0.9793013113949681,0.9827982848365256,"[0.9793, 0.9828]"
original,within_group,10,svm,accuracy,0.9445100942126514,0.0028051170938334655,100,0.9445 ± 0.0028,0.9439602912622601,0.9450598971630427,"[0.9440, 0.9451]"
original,within_group,10,svm,auc_pr,0.6633977619028127,0.03188172747887199,100,0.6634 ± 0.0319,0.6571489433169538,0.6696465804886716,"[0.6571, 0.6696]"
original,within_group,10,svm,auc_roc,0.76084108979054,0.030523109122541248,100,0.7608 ± 0.0305,0.7548585604025219,0.7668236191785581,"[0.7549, 0.7668]"
original,within_group,10,svm,balanced_accuracy,0.7244885598923284,0.014177273845642291,100,0.7245 ± 0.0142,0.7217098142185825,0.7272673055660743,"[0.7217, 0.7273]"
original,within_group,10,svm,f1_score,0.6177884592419537,0.027072788686121358,100,0.6178 ± 0.0271,0.6124821926594739,0.6230947258244335,"[0.6125, 0.6231]"
original,within_group,10,svm,precision,0.9904565213759764,0.007108463702469633,100,0.9905 ± 0.0071,0.9890632624902923,0.9918497802616605,"[0.9891, 0.9918]"
original,within_group,10,svm,recall,0.4494616419919247,0.0284128652784654,100,0.4495 ± 0.0284,0.44389272039734545,0.4550305635865039,"[0.4439, 0.4550]"
original,within_group,20,random_forest,accuracy,0.9439851951547779,0.013130579572484698,100,0.9440 ± 0.0131,0.9414116015585708,0.9465587887509849,"[0.9414, 0.9466]"
original,within_group,20,random_forest,auc_pr,0.9443765686351725,0.009511425111685746,100,0.9444 ± 0.0095,0.9425123293132821,0.9462408079570629,"[0.9425, 0.9462]"
original,within_group,20,random_forest,auc_roc,0.9922285018580276,0.0014503163216429843,100,0.9922 ± 0.0015,0.9919442398589855,0.9925127638570697,"[0.9919, 0.9925]"
original,within_group,20,random_forest,balanced_accuracy,0.9602190818005084,0.006766870086911928,100,0.9602 ± 0.0068,0.9588927752634737,0.9615453883375431,"[0.9589, 0.9615]"
original,within_group,20,random_forest,f1_score,0.780009574898432,0.040130589642246105,100,0.7800 ± 0.0401,0.7721439793285518,0.7878751704683122,"[0.7721, 0.7879]"
original,within_group,20,random_forest,precision,0.6498410671440605,0.05792221127781318,100,0.6498 ± 0.0579,0.6384883137336091,0.6611938205545119,"[0.6385, 0.6612]"
original,within_group,20,random_forest,recall,0.9805114401076716,0.010008847317084157,100,0.9805 ± 0.0100,0.9785497060335231,0.98247317418182,"[0.9785, 0.9825]"
original,within_group,20,svm,accuracy,0.9434912516823688,0.0029028691224782742,100,0.9435 ± 0.0029,0.9429222893343631,0.9440602140303745,"[0.9429, 0.9441]"
original,within_group,20,svm,auc_pr,0.6597481788088057,0.03340602503255805,100,0.6597 ± 0.0334,0.6532005979024242,0.6662957597151871,"[0.6532, 0.6663]"
