Testing_Method,Testing_Prompt,Testing_Strategy,Training_Ratio,Classifier,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,auc_roc_mean,auc_roc_std,auc_pr_mean,auc_pr_std,balanced_accuracy_mean,balanced_accuracy_std
gpt41mini,strong,within_group,100,svm,0.9273999999999999,0.007443824710173491,1.0,0.0,0.274,0.07443824710173491,0.42468924577595335,0.09857763218115448,0.8273069444444443,0.033489392522852775,0.7416044740610077,0.04463795047229762,0.637,0.03721912355086747
gpt41mini,strong,within_group,100,random_forest,0.9797499999999999,0.009129910358699853,0.9408609961469926,0.04872959819283831,0.8575000000000002,0.11561619810025711,0.8907663480726695,0.05875699757403225,0.9975683333333333,0.0014821179066723405,0.9777789409237702,0.012990387391049133,0.9254166666666667,0.05591865988841916
gpt41mini,strong,within_group,50,svm,0.9325000000000001,0.007910685644646788,0.9919326910267804,0.015692590665020982,0.32799999999999996,0.08043303851161242,0.4871977521190173,0.09737307102163129,0.8077944444444445,0.04592458949982838,0.6904062997682846,0.06092623617240388,0.6638333333333333,0.04013334660941542
gpt41mini,strong,within_group,50,random_forest,0.9603499999999998,0.01303143971526675,0.7258982233923325,0.0745453320058034,0.991,0.012937094768634567,0.8358079946492667,0.046551468497652064,0.996974722222222,0.001509258275630823,0.9633344398442827,0.014352915619344665,0.9739722222222224,0.008301645405535366
gpt41mini,weak,cross_group,0,svm,0.9035000000000002,0.003348212406014513,0.8262499999999999,0.26150815122648613,0.04,0.03128813462674074,0.0750582699851635,0.0553800609225203,0.4637975000000001,0.05134123943809971,0.19880107041130643,0.05790562045844636,0.5197222222222222,0.015732597366075362
gpt41mini,weak,cross_group,0,random_forest,0.9577999999999998,0.008256416962135069,0.7108244003274294,0.04222468469278338,0.9824999999999999,0.012513150976809212,0.8241285986140857,0.028339915476544894,0.9892047222222221,0.0032567225793831926,0.9136716912382514,0.02694081488761083,0.9687777777777778,0.0070078392936733375
gpt41mini,weak,cross_group,100,svm,0.9145500000000002,0.006159929938084144,1.0,0.0,0.14550000000000002,0.06159929938084138,0.24924388328124011,0.09392387584813058,0.7380047222222222,0.04978527138127773,0.5843651351760125,0.06988781863842229,0.5727499999999999,0.030799649690420677
gpt41mini,weak,cross_group,100,random_forest,0.9702500000000001,0.008680740933693096,0.9286356044884245,0.07209327917199616,0.7745000000000001,0.12432872386921442,0.8344561244456511,0.06247694395085871,0.9916175000000003,0.005204254668098245,0.9550861545514104,0.024077546260490443,0.88325,0.058995345407303924
gpt41mini,weak,cross_group,50,svm,0.9173499999999999,0.005508605707627414,0.9829212454212455,0.03901105123765098,0.1755,0.05335827267779473,0.2947868795753749,0.07941983828120926,0.7156427777777777,0.04648602660575158,0.5370504588679395,0.07374278911238792,0.5876388888888889,0.026768734368682875
gpt41mini,weak,cross_group,50,random_forest,0.9568999999999999,0.00793327436215736,0.7050618857174,0.04148478386905455,0.9865,0.009333020044867305,0.8216129480584181,0.026837139456789286,0.9925958333333332,0.002062530347109717,0.9431911600752745,0.017752416102696015,0.9700555555555554,0.004975247372719577
gpt41mini,weak,within_group,0,svm,0.9071000000000001,0.002489979919597749,0.9366300366300366,0.093673785667182,0.076,0.0221002500581233,0.13994536494381804,0.03780646226736067,0.5716205555555556,0.060303412424443176,0.29341070605354974,0.0640599680784699,0.5377222222222222,0.011162017885438726
gpt41mini,weak,within_group,0,random_forest,0.95855,0.008140056898805412,0.7124019964375424,0.04189506777418761,0.9899999999999999,0.011697953037312046,0.8278127174772827,0.02770988581915401,0.9941505555555556,0.0016580771839748902,0.9257525447732513,0.022220650868836553,0.9725277777777779,0.0062788644714894155
gpt41mini,weak,within_group,100,svm,0.9192499999999999,0.0073904276637168755,1.0,0.0,0.19249999999999998,0.07390427663716868,0.3167322833527447,0.10409254767485318,0.8029788888888888,0.0518530671272233,0.6822881019392513,0.06585533945874616,0.5962500000000001,0.03695213831858435
gpt41mini,weak,within_group,100,random_forest,0.9735000000000001,0.008828780687108089,0.9205834622963204,0.0635858758600006,0.8150000000000001,0.12080867867047161,0.8561376000865429,0.06030899297457928,0.9953133333333334,0.0026745761112592936,0.9643643505252774,0.02128606575340315,0.9030555555555557,0.05776554638863591
gpt41mini,weak,within_group,50,svm,0.9269499999999999,0.0070671590361406945,0.9925595238095237,0.016358933991159934,0.2715,0.07125011542003577,0.4217384798039272,0.08702208064922598,0.7954169444444443,0.04839747674496477,0.6556561704546477,0.05950923185251535,0.635638888888889,0.03558719124399645
gpt41mini,weak,within_group,50,random_forest,0.95525,0.011322427673474121,0.6985611544655245,0.06085975557163616,0.9894999999999999,0.013945382182304173,0.8173875107543287,0.03902121073917678,0.9961483333333334,0.0013478499472055173,0.9539319838003986,0.014639331381922164,0.9704722222222222,0.0076859132091345855
